EGF,PI3K-Akt signaling pathway - Homo sapiens (human)
EGF,Non-small cell lung cancer - Homo sapiens (human)
EGF,Gastric cancer - Homo sapiens (human)
EGF,Focal adhesion - Homo sapiens (human)
EGF,Choline metabolism in cancer - Homo sapiens (human)
EGF,Melanoma - Homo sapiens (human)
EGF,Bladder cancer - Homo sapiens (human)
EGF,HIF-1 signaling pathway - Homo sapiens (human)
EGF,Jak-STAT signaling pathway - Homo sapiens (human)
EGF,Breast cancer - Homo sapiens (human)
EGF,ErbB signaling pathway - Homo sapiens (human)
EGF,Gap junction - Homo sapiens (human)
EGF,FoxO signaling pathway - Homo sapiens (human)
EGF,Regulation of actin cytoskeleton - Homo sapiens (human)
EGF,Glioma - Homo sapiens (human)
EGF,Prostate cancer - Homo sapiens (human)
EGF,Rap1 signaling pathway - Homo sapiens (human)
EGF,Ras signaling pathway - Homo sapiens (human)
EGF,MAPK signaling pathway - Homo sapiens (human)
EGF,Phospholipase D signaling pathway - Homo sapiens (human)
EGF,Pathways in cancer - Homo sapiens (human)
EGF,Hepatitis C - Homo sapiens (human)
EGF,Cytokine-cytokine receptor interaction - Homo sapiens (human)
EGF,Pancreatic cancer - Homo sapiens (human)
EGF,Endometrial cancer - Homo sapiens (human)
EGF,Colorectal cancer - Homo sapiens (human)
EGF,"EGFR Inhibitor Pathway, Pharmacodynamics"
EGF,Human papillomavirus infection - Homo sapiens (human)
EGF,EGF-Core
EGF,MicroRNAs in cardiomyocyte hypertrophy
EGF,Polycystic Kidney Disease Pathway
EGF,JAK-STAT
EGF,Cardiac Hypertrophic Response
EGF,Hair Follicle Development- Induction (Part 1 of 3)
EGF,Bladder Cancer
EGF,Differentiation Pathway
EGF,Focal Adhesion
EGF,Lung fibrosis
EGF,MAPK Signaling Pathway
EGF,"ERK Pathway in Huntington,s Disease"
EGF,ESC Pluripotency Pathways
EGF,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway
EGF,Endometrial cancer
EGF,PI3K-Akt Signaling Pathway
EGF,EGF-EGFR Signaling Pathway
EGF,Regulation of Actin Cytoskeleton
EGF,TGF-beta Receptor Signaling
EGF,ErbB Signaling Pathway
EGF,SHC1 events in ERBB2 signaling
EGF,Signaling by PTK6
EGF,Disease
EGF,Vesicle-mediated transport
EGF,role of egf receptor transactivation by gpcrs in cardiac hypertrophy
EGF,egf signaling pathway
EGF,mcalpain and friends in cell motility
EGF,sprouty regulation of tyrosine kinase signals
EGF,cbl mediated ligand-induced downregulation of egf receptors pathway
EGF,Membrane Trafficking
EGF,keratinocyte differentiation
EGF,ERBB2 Activates PTK6 Signaling
EGF,map kinase inactivation of smrt corepressor
EGF,GPCR signaling-G alpha q
EGF,GPCR signaling-cholera toxin
EGF,GPCR signaling-pertussis toxin
EGF,NOTCH3 Activation and Transmission of Signal to the Nucleus
EGF,EGFR interacts with phospholipase C-gamma
EGF,Signaling by NOTCH3
EGF,Signaling by NOTCH
EGF,GPCR signaling-G alpha s Epac and ERK
EGF,EGFR downregulation
EGF,Signaling by EGFR
EGF,Downregulation of ERBB2 signaling
EGF,Platelet degranulation
EGF,Response to elevated platelet cytosolic Ca2+
EGF,"Platelet activation, signaling and aggregation"
EGF,GPCR signaling-G alpha s PKA and ERK
EGF,Clathrin-mediated endocytosis
EGF,EGFR1
EGF,SHP2 signaling
EGF,ErbB1 downstream signaling
EGF,Hemostasis
EGF,GAB1 signalosome
EGF,RAF/MAP kinase cascade
EGF,MAPK1/MAPK3 signaling
EGF,MAPK family signaling cascades
EGF,Signaling events mediated by TCPTP
EGF,Thromboxane A2 receptor signaling
EGF,PIP3 activates AKT signaling
EGF,GRB2 events in ERBB2 signaling
EGF,Signaling by Non-Receptor Tyrosine Kinases
EGF,Posttranslational regulation of adherens junction stability and dissassembly
EGF,a6b1 and a6b4 Integrin signaling
EGF,Cargo recognition for clathrin-mediated endocytosis
EGF,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
EGF,Negative regulation of the PI3K/AKT network
EGF,Signaling by EGFR in Cancer
EGF,Constitutive Signaling by Aberrant PI3K in Cancer
EGF,PI3K events in ERBB2 signaling
EGF,PLCG1 events in ERBB2 signaling
EGF,Signaling by ERBB2
EGF,ERBB2 Regulates Cell Motility
EGF,PI3K/AKT Signaling in Cancer
EGF,GPCR signaling-G alpha i
EGF,Signaling by ERBB4
EGF,Inhibition of Signaling by Overexpressed EGFR
EGF,Signaling by Overexpressed Wild-Type EGFR in Cancer
EGF,Signaling by Receptor Tyrosine Kinases
EGF,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
EGF,Signaling by Ligand-Responsive EGFR Variants in Cancer
EGF,EGF
EGF,Intracellular signaling by second messengers
EGF,Stabilization and expansion of the E-cadherin adherens junction
EGF,Diseases of signal transduction
EGF,Internalization of ErbB1
EGF,Regulation of Telomerase
EGF,Arf6 signaling events
EGF,Signaling events mediated by PTP1B
EGF,ErbB receptor signaling network
EGF,Ceramide signaling pathway
SDF1,Chemokine signaling pathway - Homo sapiens (human)
SDF1,Axon guidance - Homo sapiens (human)
SDF1,Pathways in cancer - Homo sapiens (human)
SDF1,Rheumatoid arthritis - Homo sapiens (human)
SDF1,NF-kappa B signaling pathway - Homo sapiens (human)
SDF1,Cytokine-cytokine receptor interaction - Homo sapiens (human)
SDF1,Intestinal immune network for IgA production - Homo sapiens (human)
